,Family,Pop,Tree,State,Region,Date,lat,lon,Elevation,BudBreak2020_Plasticity
90,DG_06,DG,6,NC,E,9002016,35.78233,-82.25908,1908,0.179415542
91,DG_08,DG,8,NC,E,9002016,35.78377,-82.25858,1897,0.204172368
92,DG_10,DG,10,NC,E,9002016,35.786327,-82.25755,1922,0.206236309
93,EQU_01,EQU,1,VT,C,9212017,43.13636,-73.13577,608,0.222914588
94,EQU_02,EQU,2,VT,C,9212017,43.14051,-73.14051,701,0.229119603
95,EQU_03,EQU,3,VT,C,9212017,43.14039,-73.13477,744,0.196126453
96,EQU_04,EQU,4,VT,C,9212017,43.15425,-73.12742,975,0.214731781
97,EQU_05,EQU,5,VT,C,9212017,43.15975,-73.1255,1023,0.221109
98,EQU_06,EQU,6,VT,C,9212017,43.1619,-73.12386,1063,0.17735934
99,ESC_01,ESC,1,NY,C,9052017,42.19985,-74.03118,678,0.221771889
100,ESC_02,ESC,2,NY,C,9052017,42.20077,-74.03092,685,0.205131346
101,ESC_03,ESC,3,NY,C,9052017,42.20205,-74.02971,694,0.226692676
102,ESC_04,ESC,4,NY,C,9052017,42.20549,-74.03112,730,0.237692812
103,ESC_05,ESC,5,NY,C,9052017,42.21354,-74.03379,792,0.217245741
104,ESC_06,ESC,6,NY,C,9052017,42.21471,-74.03587,829,0.228643824
105,G13_01,G13,1,PA,M,9122017,41.41342,-76.29673,641,0.207545756
106,G13_02,G13,2,PA,M,9122017,41.41315,-76.29758,639,0.204844109
107,G13_03,G13,3,PA,M,9122017,41.41275,-76.29931,634,0.195813043
108,G13_04,G13,4,PA,M,9122017,41.41232,-76.29998,637,0.221487422
109,G13_05,G13,5,PA,M,9122017,41.41286,-76.2958,640,0.192704337
110,G18_01,G18,1,PA,M,9132017,41.09564,-75.4884,538,0.197024093
111,G18_02,G18,2,PA,M,9132017,41.09326,-75.49049,552,0.183700792
112,G18_03,G18,3,PA,M,9132017,41.09363,-75.48915,560,0.190884368
113,G57_01,G57,1,PA,M,9122017,41.38781,-76.25086,644,0.19079751
114,G57_02,G57,2,PA,M,9122017,41.38786,-76.24996,644,0.196487861
115,G57_03,G57,3,PA,M,9122017,41.39196,-76.24501,635,0.254840029
116,G57_04,G57,4,PA,M,9122017,41.38787,-76.25036,655,0.224824296
117,G57_05,G57,5,PA,M,9122017,41.3885,-76.27803,646,0.204484156
118,G57_06,G57,6,PA,M,9122017,41.39518,-76.24475,632,0.193300094
119,G57_07,G57,7,PA,M,9062017,41.41808,-76.16374,647,0.198790847
120,G57_08,G57,8,PA,M,9062017,41.41875,-76.16496,652,0.21908759
121,G57_09,G57,9,PA,M,9062017,41.41903,-76.16552,652,0.186240579
122,G57_10,G57,10,PA,M,9062017,41.41903,-76.16604,652,0.213012393
123,G57_11,G57,11,PA,M,9062017,41.41982,-76.16662,652,0.216548657
124,GFM_48,GFM,48,NC,E,NA,36.0898,-81.8383,1425,0.181855719
125,GFM_49,GFM,49,NC,E,NA,36.0902,-81.8376,1423,0.20540503
126,GFM_50,GFM,50,NC,E,NA,36.0905,-81.8369,1437,0.18545852
127,GFM_51,GFM,51,NC,E,NA,36.0911,-81.8365,1444,0.186060444
128,GFM_55,GFM,55,NC,E,NA,36.0928,-81.8361,1486,0.219039868
129,GPA_01,GPA,1,WV,E,9292017,38.6156,-79.84402,1363,0.19272882
130,GPA_02,GPA,2,WV,E,9292017,38.61929,-79.8956,1339,0.186486515
131,GPA_03,GPA,3,WV,E,9292017,38.61926,-79.84243,1314,0.188678911
132,GPA_04,GPA,4,WV,E,9292017,38.59968,-79.85046,1147,0.199137094
133,GRE_01,GRE,1,MA,C,9182017,42.6402,-73.17194,929,0.187818518
134,GRE_03,GRE,3,MA,C,9182017,42.63586,-73.16558,1055,0.201222368
135,GRE_04,GRE,4,MA,C,9182017,42.63636,-73.16608,1055,0.175695355
136,GRE_05,GRE,5,MA,C,9182017,42.63514,-73.16494,1013,0.201040625
137,GRE_06,GRE,6,MA,C,9182017,42.63069,-73.17808,934,0.187037362
