"","Family","Pop","Tree","State","Region","Date","lat","lon","Elevation","DBH","bio1_13","bio2_13","bio3_13","bio4_13","bio5_13","bio6_13","bio7_13","bio8_13","bio9_13","bio10_13","bio11_13","bio12_13","bio13_13","bio14_13","bio15_13","bio16_13","bio17_13","bio18_13","bio19_13","BudSet2019_Plasticity","BudSet2020_Plasticity","BudBreak2020_Plasticity","growth2019_Plasticity","growth2020_Plasticity"
"129","GPA_01","GPA",1,"WV","E",9292017,38.6156,-79.84402,1363,31.8,69,109,32,7880,228,-103,331,150,-38,165,-38,1474,143,108,8,406,340,395,340,16.7775827825991,32.2247356951805,27.4868497724078,3.56799789800185,2.09512713471792
"130","GPA_02","GPA",2,"WV","E",9292017,38.61929,-79.8956,1339,49.3,77,114,34,7900,237,-97,334,157,-31,172,-31,1441,143,105,9,401,333,391,333,9.51467681947432,33.2803506038396,26.5201548460767,2.09979495801023,6.13853212412544
"131","GPA_03","GPA",3,"WV","E",9292017,38.61926,-79.84243,1314,39.9,70,110,33,7870,229,-102,331,150,-37,165,-37,1469,143,107,8,406,338,395,338,29.5150009400247,32.3096987806232,26.061103079434,4.01768012970367,2.72296486486895
"132","GPA_04","GPA",4,"WV","E",9292017,38.59968,-79.85046,1147,39.6,74,112,33,7871,234,-99,333,154,-34,169,-34,1439,141,105,8,398,331,388,331,20.2664608024405,27.8740898010654,28.5486096417849,4.23949275208645,5.45951139012347
"133","GRE_01","GRE",1,"MA","C",9182017,42.6402,-73.17194,929,36,40,98,27,9119,217,-140,357,134,-71,154,-81,1423,134,99,9,380,313,378,319,28.5842861714325,31.081169577182,26.3161897425166,3.3310825593984,1.02609475849605
"134","GRE_03","GRE",3,"MA","C",9182017,42.63586,-73.16558,1055,37.6,40,98,27,9142,218,-140,358,134,-71,154,-81,1423,134,99,9,380,313,378,319,22.413294920063,24.7554371472012,28.032830007803,1.90446030932077,4.49142099994947
"135","GRE_04","GRE",4,"MA","C",9182017,42.63636,-73.16608,1055,30.8,40,98,27,9142,218,-140,358,134,-71,154,-81,1423,134,99,9,380,313,378,319,19.1969210675455,33.8306563164643,24.796555531596,1.36549981588134,2.40221788980148
"136","GRE_05","GRE",5,"MA","C",9182017,42.63514,-73.16494,1013,16.5,40,98,27,9142,218,-140,358,134,-71,154,-81,1423,134,99,9,380,313,378,319,11.7071890584666,32.5209465333532,28.446795221912,1.99836283207296,5.05156174928774
"137","GRE_06","GRE",6,"MA","C",9182017,42.63069,-73.17808,934,26.4,43,100,27,9166,221,-139,360,136,-69,157,-80,1396,131,97,9,375,306,373,312,12.154712805436,28.4249485573025,26.4534328655955,3.71499083207058,5.58878304839545
"138","GRE_07","GRE",7,"MA","C",9182017,42.63034,-73.18195,888,41.1,43,100,27,9166,221,-139,360,136,-69,157,-80,1396,131,97,9,375,306,373,312,24.443554951932,26.8961681191124,24.9661503517234,3.86303650659506,1.93720588567876
"139","HR_01","HR",1,"TN","E",9002016,35.5714,-83.17954,1615,59.2,79,110,36,6977,226,-77,303,77,86,166,-14,1887,186,136,7,504,440,485,458,28.8910780104638,24.5519972670619,26.4867621260292,1.95793907963705,4.31260080607285
"140","HR_02","HR",2,"TN","E",9002016,35.5716,-83.17953,1624,55.9,79,110,36,6977,226,-77,303,77,86,166,-14,1887,186,136,7,504,440,485,458,15.3829948524494,24.9712978707288,22.0507900687007,2.46384464057011,5.27112779860227
"141","HR_03","HR",3,"TN","E",9002016,35.56898,-83.17448,1627,57.8,80,111,36,6961,227,-76,303,78,87,167,-13,1878,185,135,7,502,437,483,456,20.0993064025922,27.0173536746777,26.5481615448273,2.57498899479312,1.4420230647927
"142","HR_05","HR",5,"TN","E",9002016,35.57113,-83.1706,1607,59.7,80,111,36,6961,227,-76,303,78,87,167,-13,1878,185,135,7,502,437,483,456,22.2539637711056,26.0825325765271,27.4585068098431,2.03965584751828,3.29564488699692
"143","HR_06","HR",6,"TN","E",9002016,35.57026,-83.16939,1605,55.9,80,111,36,6961,227,-76,303,78,87,167,-13,1878,185,135,7,502,437,483,456,12.6907326368085,31.4510033194407,25.5273607789575,3.48395848929298,0.627190905881204
"144","HR_07","HR",7,"TN","E",9002016,35.56706,-83.16762,1595,59.9,80,111,36,6961,227,-76,303,78,87,167,-13,1878,185,135,7,502,437,483,456,23.977592312803,23.2710549344594,25.9943777832549,4.83508167006412,3.27467265457838
"145","HR_10","HR",10,"TN","E",9002016,35.61916,-83.20716,1036,27.1,104,130,40,7035,261,-62,323,101,110,192,10,1535,157,101,10,417,338,396,384,15.8338850590665,24.6693072184025,30.6553438483603,0.857825237873463,3.02821191082489
"146","HUN_01","HUN",1,"NY","C",9072017,42.17801,-74.22929,1221,27.9,32,96,27,8912,202,-146,348,79,-77,142,-87,1481,142,102,9,397,326,382,331,27.8792110834513,29.0697307269658,33.1211999691812,1.71573660362831,5.13471461648816
"147","HUN_02","HUN",2,"NY","C",9072017,42.17772,-74.2286,1198,57.9,32,96,27,8912,202,-146,348,79,-77,142,-87,1481,142,102,9,397,326,382,331,10.8448959225772,28.9514408835332,31.2181096159342,1.58427407051522,4.93714589693812
"148","HUN_03","HUN",3,"NY","C",9072017,42.17778,-74.23087,1219,26.3,32,96,27,8912,202,-146,348,79,-77,142,-87,1481,142,102,9,397,326,382,331,20.8902557342641,NA,32.1672475582477,4.734800658176,7.88103532819579
