"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","Value","Trait"
"ALB_01_MD_C","ALB_01","ALB","Core",44.3067,70.84019,455,"C","Maryland_C","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,665.65,"BudBreak"
"ALB_01_VT_B","ALB_01","ALB","Core",44.3067,70.84019,455,"B","Vermont_B","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,538.3,"BudBreak"
"ALB_01_VT_D","ALB_01","ALB","Core",44.3067,70.84019,455,"D","Vermont_D","Vermont",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5,554.55,"BudBreak"
"ALB_01_MD_E","ALB_01","ALB","Core",44.3067,70.84019,455,"E","Maryland_E","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,693.8,"BudBreak"
"ALB_01_MD_B","ALB_01","ALB","Core",44.3067,70.84019,455,"B","Maryland_B","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,613.55,"BudBreak"
"ALB_01_NC_E","ALB_01","ALB","Core",44.3067,70.84019,455,"E","North_Carolina_E","North_Carolina",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5,684.95,"BudBreak"
"ALB_01_MD_D","ALB_01","ALB","Core",44.3067,70.84019,455,"D","Maryland_D","Maryland",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5,642.5,"BudBreak"
"ALB_02_NC_D","ALB_02","ALB","Core",44.30564,70.84081,524,"D","North_Carolina_D","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,750.9,"BudBreak"
"ALB_02_MD_E","ALB_02","ALB","Core",44.30564,70.84081,524,"E","Maryland_E","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,629.9,"BudBreak"
"ALB_02_MD_A","ALB_02","ALB","Core",44.30564,70.84081,524,"A","Maryland_A","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,549.55,"BudBreak"
"ALB_02_VT_C","ALB_02","ALB","Core",44.30564,70.84081,524,"C","Vermont_C","Vermont",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5,554.55,"BudBreak"
"ALB_02_NC_C","ALB_02","ALB","Core",44.30564,70.84081,524,"C","North_Carolina_C","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,684.95,"BudBreak"
"ALB_02_MD_D","ALB_02","ALB","Core",44.30564,70.84081,524,"D","Maryland_D","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,683.5,"BudBreak"
"ALB_02_MD_C","ALB_02","ALB","Core",44.30564,70.84081,524,"C","Maryland_C","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,642.5,"BudBreak"
"ALB_02_VT_A","ALB_02","ALB","Core",44.30564,70.84081,524,"A","Vermont_A","Vermont",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5,568.5,"BudBreak"
"ALB_02_NC_A","ALB_02","ALB","Core",44.30564,70.84081,524,"A","North_Carolina_A","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,684.95,"BudBreak"
"ALB_02_MD_B","ALB_02","ALB","Core",44.30564,70.84081,524,"B","Maryland_B","Maryland",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5,629.9,"BudBreak"
"ALB_02_VT_D","ALB_02","ALB","Core",44.30564,70.84081,524,"D","Vermont_D","Vermont",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5,591.2,"BudBreak"
"ALB_02_NC_B","ALB_02","ALB","Core",44.30564,70.84081,524,"B","North_Carolina_B","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,570.9,"BudBreak"
"ALB_02_NC_E","ALB_02","ALB","Core",44.30564,70.84081,524,"E","North_Carolina_E","North_Carolina",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5,454.4,"BudBreak"
"ALB_03_VT_D","ALB_03","ALB","Core",44.30359,70.84096,523,"D","Vermont_D","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,554.55,"BudBreak"
"ALB_03_VT_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","Vermont_C","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,554.55,"BudBreak"
"ALB_03_MD_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","Maryland_C","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,674.8,"BudBreak"
"ALB_03_VT_A","ALB_03","ALB","Core",44.30359,70.84096,523,"A","Vermont_A","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,591.2,"BudBreak"
