"plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","BudSet","mBed","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0"
"ALB_02_NC_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina","E",3,61,5,3,5,198,"North_Carolina_E",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
"ALB_02_MD_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Maryland","A",6,2,1,6,2,209,"Maryland_A",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5
"ALB_02_MD_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Maryland","B",2,53,4,2,11,199,"Maryland_B",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5
"ALB_02_MD_C","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Maryland","C",3,38,3,3,10,201,"Maryland_C",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5
"ALB_02_MD_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Maryland","D",2,18,2,2,4,202,"Maryland_D",1.30160561494471,-1.51200181354287,-4.79104440324931,-3.53774746780395,34.3,963,36.4,282.5
"ALB_02_VT_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Vermont","B",2,69,5,2,13,271,"Vermont_B",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5
"ALB_02_VT_D","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Vermont","D",2,53,4,2,11,244,"Vermont_D",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5
"ALB_02_VT_E","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"Vermont","E",3,24,2,3,10,249,"Vermont_E",1.30160561494471,-1.51200181354287,-3.44541897005897,-5.80837560984597,34.3,963,39.25,531.5
"ALB_02_NC_B","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina","B",3,52,4,3,10,196,"North_Carolina_B",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
"ALB_02_NC_A","ALB_02","ALB","ME","Core",44.30564,70.84081,524,"North_Carolina","A",2,25,2,2,11,195,"North_Carolina_A",1.30160561494471,-1.51200181354287,-9.85361058869086,-5.01016433622286,34.3,963,37.75,53.5
"ALB_03_NC_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina","A",6,66,5,6,10,195,"North_Carolina_A",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
"ALB_03_NC_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina","B",6,14,1,6,14,196,"North_Carolina_B",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
"ALB_03_VT_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont","B",3,4,1,3,4,200,"Vermont_B",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
"ALB_03_VT_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont","A",5,24,2,5,10,244,"Vermont_A",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
"ALB_03_VT_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont","E",2,57,5,2,1,195,"Vermont_E",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
"ALB_03_VT_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont","C",3,57,5,3,1,236,"Vermont_C",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
"ALB_03_MD_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland","A",5,67,5,5,11,221,"Maryland_A",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
"ALB_03_NC_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina","C",5,38,3,5,10,196,"North_Carolina_C",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
"ALB_03_NC_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina","D",5,67,5,5,11,247,"North_Carolina_D",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
"ALB_03_NC_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina","E",3,57,5,3,1,198,"North_Carolina_E",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
"ALB_03_VT_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont","D",6,66,5,6,10,249,"Vermont_D",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
"ALB_03_MD_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland","B",2,5,1,2,5,204,"Maryland_B",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
