"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","initial_ht","Height_Fall2019","Growth"
"99","ALB_03_MD_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_B","Maryland","B",2,5,1,2,5,7.5,15.5,8
"100","ALB_03_MD_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_C","Maryland","C",6,14,1,6,14,17,32,15
"101","ALB_03_MD_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_D","Maryland","D",5,52,4,5,10,15,19.5,4.5
"102","ALB_03_MD_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"MD_E","Maryland","E",3,57,5,3,1,12.5,32.5,20
"103","ALB_03_NC_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"NC_A","North_Carolina","A",6,66,5,6,10,14,28.5,14.5
"104","ALB_03_NC_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"NC_B","North_Carolina","B",6,14,1,6,14,24,33.5,9.5
"105","ALB_03_NC_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"NC_C","North_Carolina","C",5,38,3,5,10,25,36,11
"106","ALB_03_NC_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"NC_D","North_Carolina","D",5,67,5,5,11,23.5,37,13.5
"107","ALB_03_NC_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"NC_E","North_Carolina","E",3,57,5,3,1,18,31,13
"108","ALB_03_VT_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"VT_A","Vermont","A",5,24,2,5,10,13.5,30,16.5
"109","ALB_03_VT_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"VT_B","Vermont","B",3,4,1,3,4,16.5,30.5,14
"110","ALB_03_VT_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"VT_C","Vermont","C",3,57,5,3,1,19.5,35.5,16
"111","ALB_03_VT_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"VT_D","Vermont","D",6,66,5,6,10,16.5,24,7.5
"112","ALB_03_VT_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"VT_E","Vermont","E",2,57,5,2,1,22,36,14
"113","ALB_05_MD_A","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"MD_A","Maryland","A",4,58,5,4,2,16.5,31.5,15
"114","ALB_05_MD_B","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"MD_B","Maryland","B",5,42,3,5,12,23,42,19
"115","ALB_05_MD_C","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"MD_C","Maryland","C",6,61,5,6,5,18,33,15
"116","ALB_05_MD_D","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"MD_D","Maryland","D",3,14,1,3,14,17,22.5,5.5
"117","ALB_05_MD_E","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"MD_E","Maryland","E",6,31,3,6,3,29.5,33.5,4
"118","ALB_05_NC_A","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"NC_A","North_Carolina","A",5,40,3,5,12,15.5,27.5,12
"119","ALB_05_NC_B","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"NC_B","North_Carolina","B",6,61,5,6,5,10,15.5,5.5
"120","ALB_05_NC_C","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"NC_C","North_Carolina","C",3,14,1,3,14,16,30.5,14.5
"121","ALB_05_NC_D","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"NC_D","North_Carolina","D",4,58,5,4,2,43,50.5,7.5
"122","ALB_05_NC_E","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"NC_E","North_Carolina","E",6,45,4,6,3,29.5,35.5,6
"123","ALB_05_VT_A","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"VT_A","Vermont","A",5,57,5,5,1,24,30.5,6.5
"124","ALB_05_VT_B","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"VT_B","Vermont","B",4,15,1,4,13,23,31,8
"125","ALB_05_VT_C","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"VT_C","Vermont","C",6,17,2,6,3,26,39.5,13.5
