"X","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","FinalHT","Height_Fall2019","Growth","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0"
89,"ALB_03_MD_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland_B","Maryland","B",2,5,1,2,5,28.5,15.5,13,1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
90,"ALB_03_MD_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland_C","Maryland","C",6,14,1,6,14,47.5,32,15.5,1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
91,"ALB_03_MD_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland_D","Maryland","D",5,52,4,5,10,32,19.5,12.5,1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
92,"ALB_03_MD_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland_E","Maryland","E",3,57,5,3,1,51.5,32.5,19,1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
93,"ALB_03_NC_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina_A","North_Carolina","A",6,66,5,6,10,33.5,28.5,5,1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
94,"ALB_03_NC_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina_B","North_Carolina","B",6,14,1,6,14,44,33.5,10.5,1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
95,"ALB_03_NC_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina_C","North_Carolina","C",5,38,3,5,10,49.5,36,13.5,1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
96,"ALB_03_NC_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina_D","North_Carolina","D",5,67,5,5,11,60,37,23,1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
97,"ALB_03_NC_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"North_Carolina_E","North_Carolina","E",3,57,5,3,1,41,31,10,1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5
98,"ALB_03_VT_A","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont_A","Vermont","A",5,24,2,5,10,44.5,30,14.5,1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
99,"ALB_03_VT_B","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont_B","Vermont","B",3,4,1,3,4,44,30.5,13.5,1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
100,"ALB_03_VT_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont_C","Vermont","C",3,57,5,3,1,49,35.5,13.5,1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
101,"ALB_03_VT_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont_D","Vermont","D",6,66,5,6,10,38,24,14,1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
102,"ALB_03_VT_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Vermont_E","Vermont","E",2,57,5,2,1,55,36,19,1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5
103,"ALB_05_MD_A","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Maryland_A","Maryland","A",4,58,5,4,2,48,31.5,16.5,1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5
104,"ALB_05_MD_B","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Maryland_B","Maryland","B",5,40,3,5,12,60.5,42,18.5,1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5
105,"ALB_05_MD_C","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Maryland_C","Maryland","C",6,61,5,6,5,56,33,23,1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5
