plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
ALB_02_VT_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,B,2,69,5,2,13,271
ALB_02_VT_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,D,2,53,4,2,11,244
ALB_02_VT_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,E,3,24,2,3,10,249
ALB_02_NC_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,B,3,52,4,3,10,196
ALB_02_NC_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,A,2,25,2,2,11,195
ALB_03_NC_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,A,6,66,5,6,10,195
ALB_03_NC_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,B,6,14,1,6,14,196
ALB_03_VT_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,B,3,4,1,3,4,200
ALB_03_VT_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,A,5,24,2,5,10,244
ALB_03_VT_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,E,2,57,5,2,1,195
ALB_03_VT_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,C,3,57,5,3,1,236
ALB_03_MD_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,A,5,67,5,5,11,221
ALB_03_NC_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,C,5,38,3,5,10,196
ALB_03_NC_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,D,5,67,5,5,11,247
ALB_03_NC_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,E,3,57,5,3,1,198
ALB_03_VT_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,D,6,66,5,6,10,249
