"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","cGDD","BudSet","Growth"
"ALB_03_MD_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","Maryland_C","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,674.8,201,15.5
"ALB_03_VT_A","ALB_03","ALB","Core",44.30359,70.84096,523,"A","Vermont_A","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,591.2,244,14.5
"ALB_03_NC_B","ALB_03","ALB","Core",44.30359,70.84096,523,"B","North_Carolina_B","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,684.95,196,10.5
"ALB_03_MD_B","ALB_03","ALB","Core",44.30359,70.84096,523,"B","Maryland_B","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,642.5,204,13
"ALB_03_NC_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","North_Carolina_C","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,684.95,196,13.5
"ALB_03_MD_E","ALB_03","ALB","Core",44.30359,70.84096,523,"E","Maryland_E","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,662.4,203,19
"ALB_03_NC_D","ALB_03","ALB","Core",44.30359,70.84096,523,"D","North_Carolina_D","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,684.95,247,23
"ALB_03_VT_E","ALB_03","ALB","Core",44.30359,70.84096,523,"E","Vermont_E","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,554.55,195,19
"ALB_03_VT_B","ALB_03","ALB","Core",44.30359,70.84096,523,"B","Vermont_B","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,591.2,200,13.5
"ALB_03_MD_A","ALB_03","ALB","Core",44.30359,70.84096,523,"A","Maryland_A","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,657.5,221,13.5
"ALB_03_NC_A","ALB_03","ALB","Core",44.30359,70.84096,523,"A","North_Carolina_A","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,626.35,195,5
"ALB_03_VT_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","Vermont_C","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,568.5,236,13.5
"ALB_03_NC_E","ALB_03","ALB","Core",44.30359,70.84096,523,"E","North_Carolina_E","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,750.9,198,10
"ALB_03_MD_D","ALB_03","ALB","Core",44.30359,70.84096,523,"D","Maryland_D","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,642.5,202,12.5
"ALB_05_VT_A","ALB_05","ALB","Core",44.30182,70.83729,573,"A","Vermont_A","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,568.5,236,22.5
"ALB_05_NC_C","ALB_05","ALB","Core",44.30182,70.83729,573,"C","North_Carolina_C","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,750.9,202,14.5
"ALB_05_MD_B","ALB_05","ALB","Core",44.30182,70.83729,573,"B","Maryland_B","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,674.8,209,18.5
"ALB_05_NC_A","ALB_05","ALB","Core",44.30182,70.83729,573,"A","North_Carolina_A","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,725.5,195,15
"ALB_05_MD_D","ALB_05","ALB","Core",44.30182,70.83729,573,"D","Maryland_D","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,674.8,202,9.5
"ALB_05_NC_D","ALB_05","ALB","Core",44.30182,70.83729,573,"D","North_Carolina_D","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,725.5,197,16.5
"ALB_05_MD_C","ALB_05","ALB","Core",44.30182,70.83729,573,"C","Maryland_C","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,665.65,245,23
"ALB_05_VT_B","ALB_05","ALB","Core",44.30182,70.83729,573,"B","Vermont_B","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,523.95,271,23.5
"ALB_05_VT_E","ALB_05","ALB","Core",44.30182,70.83729,573,"E","Vermont_E","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,591.2,222,22.5
"ALB_05_MD_A","ALB_05","ALB","Core",44.30182,70.83729,573,"A","Maryland_A","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,687.4,199,16.5
"ALB_05_NC_E","ALB_05","ALB","Core",44.30182,70.83729,573,"E","North_Carolina_E","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,684.95,198,16
"ALB_05_MD_E","ALB_05","ALB","Core",44.30182,70.83729,573,"E","Maryland_E","Maryland",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5,693.8,203,15
"ALB_05_NC_B","ALB_05","ALB","Core",44.30182,70.83729,573,"B","North_Carolina_B","North_Carolina",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5,684.95,196,8.5
"ALB_06_NC_D","ALB_06","ALB","Core",44.30061,70.83641,589,"D","North_Carolina_D","North_Carolina",1.43501009249493,-1.23908413743065,-9.85361058869086,-5.01016433622286,34,970,37.75,53.5,684.95,197,12.5
"ALB_06_VT_E","ALB_06","ALB","Core",44.30061,70.83641,589,"E","Vermont_E","Vermont",1.43501009249493,-1.23908413743065,-3.44541897005897,-5.80837560984597,34,970,39.25,531.5,554.55,197,13.5
"ALB_06_NC_A","ALB_06","ALB","Core",44.30061,70.83641,589,"A","North_Carolina_A","North_Carolina",1.43501009249493,-1.23908413743065,-9.85361058869086,-5.01016433622286,34,970,37.75,53.5,684.95,206,11.5
"ALB_06_NC_B","ALB_06","ALB","Core",44.30061,70.83641,589,"B","North_Carolina_B","North_Carolina",1.43501009249493,-1.23908413743065,-9.85361058869086,-5.01016433622286,34,970,37.75,53.5,750.9,196,12
"ALB_06_VT_B","ALB_06","ALB","Core",44.30061,70.83641,589,"B","Vermont_B","Vermont",1.43501009249493,-1.23908413743065,-3.44541897005897,-5.80837560984597,34,970,39.25,531.5,568.5,256,19.5
"ALB_06_NC_C","ALB_06","ALB","Core",44.30061,70.83641,589,"C","North_Carolina_C","North_Carolina",1.43501009249493,-1.23908413743065,-9.85361058869086,-5.01016433622286,34,970,37.75,53.5,684.95,196,14.5
"ALB_06_MD_E","ALB_06","ALB","Core",44.30061,70.83641,589,"E","Maryland_E","Maryland",1.43501009249493,-1.23908413743065,-4.79104440324931,-3.53774746780395,34,970,36.4,282.5,662.4,203,22
"ALB_06_MD_A","ALB_06","ALB","Core",44.30061,70.83641,589,"A","Maryland_A","Maryland",1.43501009249493,-1.23908413743065,-4.79104440324931,-3.53774746780395,34,970,36.4,282.5,674.8,197,1
"ALB_06_MD_C","ALB_06","ALB","Core",44.30061,70.83641,589,"C","Maryland_C","Maryland",1.43501009249493,-1.23908413743065,-4.79104440324931,-3.53774746780395,34,970,36.4,282.5,665.65,201,12.5
"ALB_06_VT_A","ALB_06","ALB","Core",44.30061,70.83641,589,"A","Vermont_A","Vermont",1.43501009249493,-1.23908413743065,-3.44541897005897,-5.80837560984597,34,970,39.25,531.5,591.2,215,17
"ALB_06_MD_B","ALB_06","ALB","Core",44.30061,70.83641,589,"B","Maryland_B","Maryland",1.43501009249493,-1.23908413743065,-4.79104440324931,-3.53774746780395,34,970,36.4,282.5,642.5,199,14.5
"ALB_06_VT_D","ALB_06","ALB","Core",44.30061,70.83641,589,"D","Vermont_D","Vermont",1.43501009249493,-1.23908413743065,-3.44541897005897,-5.80837560984597,34,970,39.25,531.5,568.5,236,21.5
"ALB_06_MD_D","ALB_06","ALB","Core",44.30061,70.83641,589,"D","Maryland_D","Maryland",1.43501009249493,-1.23908413743065,-4.79104440324931,-3.53774746780395,34,970,36.4,282.5,629.9,202,16.5
"ALB_06_NC_E","ALB_06","ALB","Core",44.30061,70.83641,589,"E","North_Carolina_E","North_Carolina",1.43501009249493,-1.23908413743065,-9.85361058869086,-5.01016433622286,34,970,37.75,53.5,725.5,197,11
